date,district,cum_no,daily_no
2020-07-23,Unknown,5046,151
2020-07-24,Unknown,5149,103
2020-07-25,Unknown,5262,113
2020-07-26,Unknown,5335,73
2020-07-27,Unknown,5373,38
2020-07-28,Unknown,5431,58
2020-07-29,Unknown,5563,132
2020-07-30,Unknown,5632,69
2020-07-31,Unknown,5708,76
2020-08-01,Unknown,5708,0
2020-08-02,Unknown,5708,0
2020-08-03,Unknown,5708,0
2020-08-04,Unknown,5708,0
2020-08-05,Unknown,5974,266
2020-08-06,Unknown,6030,56
2020-08-07,Unknown,6048,18
2020-08-08,Unknown,6051,3
2020-08-09,Unknown,6120,69
2020-08-10,Unknown,6118,-2
2020-08-11,Unknown,6123,5
2020-08-12,Unknown,6125,2
2020-08-13,Unknown,6182,57
2020-08-14,Unknown,6012,-170
2020-08-15,Unknown,5997,-15
2020-08-16,Unknown,6006,9
2020-08-17,Unknown,6020,14
2020-08-18,Unknown,5672,-348
2020-08-19,Unknown,5718,46
2020-08-20,Unknown,5732,14
2020-08-21,Unknown,5756,24
2020-08-22,Unknown,5765,9
2020-08-23,Unknown,5762,-3
2020-08-24,Unknown,5771,9
2020-08-25,Unknown,5774,3
2020-08-26,Unknown,5584,-190
2020-08-27,Unknown,5565,-19
2020-08-28,Unknown,5571,6
2020-08-29,Unknown,5589,18
2020-08-30,Unknown,5602,13
2020-08-31,Unknown,5606,4
2020-09-01,Unknown,4702,-904
2020-09-02,Unknown,4706,4
2020-09-03,Unknown,4693,-13
2020-09-04,Unknown,4695,2
2020-09-05,Unknown,4697,2
2020-09-06,Unknown,4700,3
2020-09-07,Unknown,4697,-3
2020-09-08,Unknown,4697,0
2020-09-09,Unknown,4699,2
2020-09-10,Unknown,4698,-1
2020-09-11,Unknown,4703,5
2020-09-12,Unknown,4705,2
2020-09-13,Unknown,4706,1
2020-09-14,Unknown,4707,1
2020-09-15,Unknown,4711,4
2020-09-16,Unknown,4714,3
2020-09-17,Unknown,4723,9
2020-09-18,Unknown,4731,8
2020-09-19,Unknown,4748,17
2020-09-20,Unknown,4752,4
2020-09-21,Unknown,4758,6
2020-09-22,Unknown,4758,0
2020-09-23,Unknown,4760,2
2020-09-24,Unknown,4764,4
2020-09-25,Unknown,4768,4
2020-09-26,Unknown,4779,11
2020-09-27,Unknown,4783,4
2020-09-28,Unknown,4787,4
2020-09-29,Unknown,4790,3
2020-09-30,Unknown,4796,6
2020-10-01,Unknown,4799,3
2020-10-02,Unknown,4801,2
2020-10-03,Unknown,4805,4
2020-10-04,Unknown,4810,5
2020-10-05,Unknown,4813,3
2020-10-06,Unknown,4815,2
2020-10-07,Unknown,4816,1
2020-10-08,Unknown,4825,9
2020-10-09,Unknown,4831,6
2020-10-10,Unknown,4842,11
2020-10-11,Unknown,4844,2
2020-10-12,Unknown,4841,-3
2020-10-13,Unknown,4849,8
2020-10-14,Unknown,4853,4
2020-10-15,Unknown,4856,3
2020-10-16,Unknown,4833,-23
2020-10-17,Unknown,4838,5
2020-10-18,Unknown,4845,7
2020-10-19,Unknown,4848,3
2020-10-20,Unknown,4842,-6
2020-10-21,Unknown,4797,-45
2020-10-22,Unknown,4754,-43
2020-10-23,Unknown,4760,6
2020-10-24,Unknown,4743,-17
2020-10-25,Unknown,4741,-2
2020-10-26,Unknown,4748,7
